Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
54.0,98.054601786,101.90462338,94.945986417,788.218197,199.790011,-0.915225075,1259.1538,1266.01015
55.0,97.425519607,102.74549183,95.182702593,787.944979,199.791467,-1.57777452,1258.39689,1264.71373
56.0,97.885121546,102.53301205,95.631069025,787.336197,199.847387,-1.62390045,1258.81579,1260.79477
57.0,98.823526927,101.51737909,95.74440454,786.815266,199.955262,-1.16350204,1260.46161,1257.75871
58.0,99.580703859,100.36171958,95.482385379,786.839959,200.109553,-0.535933446,1262.59409,1257.59969
59.0,99.636994234,99.768099856,94.934163606,787.471335,200.18667,-0.159042161,1264.35248,1260.64062
60.0,99.435752062,99.785138594,94.737880826,788.096168,200.105255,-0.0362979901,1264.60861,1263.33808
61.0,99.945949685,99.542541002,95.040948366,788.073596,199.871868,0.312749352,1264.15033,1262.50546
62.0,100.0696547,99.756302752,95.392045716,787.585175,199.654875,0.408050618,1261.99024,1261.66718
63.0,99.628971725,100.10569915,95.105026216,787.564769,199.599414,0.25319205,1261.39896,1263.06722
64.0,99.378619626,100.35058791,95.039896528,787.824209,199.674928,0.112802736,1261.46726,1263.6327
65.0,99.296013073,100.59430827,95.250517023,787.750744,199.694843,-0.0160439672,1260.91027,1262.95916
66.0,98.665722003,101.10774755,95.022738983,787.822364,199.706298,-0.401806506,1260.75435,1264.15445
67.0,98.181914825,101.60818657,95.057946995,787.934125,199.767639,-0.789571283,1260.5696,1264.35066
68.0,98.278393758,101.55701972,95.104415976,787.89258,199.769583,-0.867303864,1261.33577,1263.19686
69.0,98.593131971,101.193911,94.986422615,787.960401,199.776422,-0.737363084,1262.62437,1262.46019
70.0,99.16662604,100.56296947,94.825174486,788.195628,199.796086,-0.373689234,1264.15677,1262.01158
71.0,99.287892257,100.74098984,95.244573294,787.961853,199.793072,-0.302570296,1262.21347,1261.38582
72.0,98.482856107,101.70877831,95.49561321,787.429472,199.771913,-0.758309818,1259.03913,1262.10876
73.0,97.37916466,102.69009087,95.436286248,787.203827,199.857569,-1.42772571,1257.66163,1263.35634
74.0,96.567788699,103.23764356,95.216232392,787.375745,199.968924,-1.99309856,1258.57759,1264.22285
75.0,96.511059072,103.10626148,95.066557624,787.665409,200.002368,-2.16061967,1260.86523,1263.75477
76.0,96.524590332,102.99864536,94.944614394,787.918172,199.936723,-2.23898835,1262.37921,1263.66269
77.0,96.352562052,103.44182603,95.356529891,787.662925,199.830255,-2.46551925,1260.9458,1262.76322
78.0,96.14884263,103.75359514,95.506419031,787.229049,199.727916,-2.65251986,1260.00714,1262.00668
79.0,96.054789784,103.65668603,95.25413022,787.282316,199.750073,-2.67894686,1261.05159,1262.25173
80.0,96.065297038,103.48826473,95.061484589,787.631559,199.800861,-2.61795581,1262.31402,1262.81769
81.0,95.998980144,103.42846338,94.807417244,788.068228,199.771066,-2.57256281,1263.3853,1263.93604
82.0,96.090078312,103.51972703,94.968292369,788.17658,199.698565,-2.50619042,1263.00445,1263.66584
83.0,96.796187593,103.22358927,95.501945019,787.624251,199.608191,-2.12790557,1261.84995,1260.85195
84.0,97.644494571,102.54895457,95.805159205,786.909034,199.608729,-1.52960936,1261.12211,1258.40399
85.0,97.744330053,102.13370448,95.497420026,786.846931,199.745745,-1.15332481,1261.30639,1259.65168
86.0,97.764439756,101.83260527,95.314111907,787.169937,199.89498,-0.837029887,1261.83307,1261.26829
87.0,97.662276323,101.7588085,95.193335967,787.443924,199.889332,-0.652190847,1262.06733,1262.80781
88.0,97.685522197,101.83213942,95.427805423,787.341132,199.791903,-0.517592297,1261.23784,1262.76266
89.0,97.471187178,101.98761997,95.335093893,787.258414,199.668297,-0.514228022,1260.92108,1263.45462
90.0,97.450084279,102.02468817,95.366360586,787.272974,199.618085,-0.45997851,1260.90799,1263.4189
91.0,97.299065388,102.03644617,95.076872727,787.545862,199.564992,-0.450838343,1261.76165,1264.4363
92.0,97.639925416,101.74678834,95.053753341,787.821899,199.534919,-0.216127463,1262.71813,1264.05699
93.0,97.670142445,101.84418493,95.086092303,787.891345,199.46845,-0.155164922,1262.27844,1264.18027
94.0,97.398019518,102.32017258,95.265456381,787.739375,199.441204,-0.30824756,1260.70411,1264.18311
95.0,97.267144221,102.70354841,95.628310311,787.274466,199.465579,-0.444497081,1259.00181,1262.89973
96.0,96.945679973,102.907476,95.513210704,787.059434,199.549783,-0.614131253,1258.88562,1262.98075
97.0,96.995466523,102.7519285,95.543555992,787.035828,199.690087,-0.582276757,1259.56199,1262.41244
98.0,97.190970147,102.48788242,95.653379944,786.889163,199.744443,-0.442764663,1259.97924,1261.69846
99.0,97.044041285,102.40990155,95.494733775,786.908874,199.745427,-0.418803452,1260.44277,1262.55565
100.0,96.92096159,102.45953277,95.558966283,786.925184,199.723236,-0.425480339,1260.36967,1262.93689
101.0,97.093970964,102.19833493,95.515304794,786.922475,199.633471,-0.262533242,1261.09495,1262.8347
102.0,97.186016706,102.10009498,95.567373108,786.900161,199.549146,-0.149062281,1261.09744,1262.85483
103.0,97.619832028,101.61934967,95.508455847,786.929816,199.463532,0.188569982,1261.97777,1262.49008
104.0,97.595773679,101.52283796,95.284656968,787.194139,199.404392,0.31601663,1262.35442,1263.76955
105.0,97.392288405,101.70381474,95.146862049,787.534907,199.349322,0.291358054,1262.30954,1265.09715
106.0,97.040857715,102.32082603,95.427686363,787.457654,199.272419,0.0456603772,1260.56392,1265.14006
107.0,96.821034434,102.72323957,95.596397539,787.13758,199.213647,-0.165760309,1259.49854,1264.35776
108.0,96.686777467,102.8089906,95.492063568,787.072612,199.262993,-0.287541306,1259.8527,1264.06088
109.0,95.973217043,103.42773551,95.371307502,787.236681,199.356753,-0.734683612,1259.47516,1265.29202
110.0,95.292627272,104.07468242,95.332851352,787.379492,199.403091,-1.23099287,1259.32899,1265.96411
111.0,95.225002434,104.23920281,95.492089262,787.279808,199.402378,-1.43992427,1259.67709,1264.6938
112.0,94.94566498,104.61336224,95.673148397,786.986352,199.390689,-1.7372,1259.02961,1263.88387
113.0,94.958927156,104.54441285,95.670213701,786.805897,199.415194,-1.79762847,1259.5866,1263.04564
114.0,95.347580338,103.99472646,95.530529023,786.887315,199.463138,-1.54954635,1261.2468,1262.44921
115.0,95.078741077,104.10788352,95.358969916,787.140413,199.476539,-1.60663875,1261.4281,1263.89517
116.0,95.167005555,104.04241706,95.404676641,787.253622,199.431795,-1.50936792,1261.62707,1263.92619
117.0,95.29443018,104.13464788,95.744922827,786.938446,199.350072,-1.43511337,1260.44595,1262.92288
118.0,95.906194186,103.68012332,96.062016624,786.373311,199.303189,-1.04643916,1259.98389,1260.76623
119.0,96.281839624,103.32237559,96.326150509,785.807825,199.345152,-0.696428375,1259.05452,1259.61362
120.0,96.343722716,102.76082936,95.835028851,785.963168,199.42554,-0.349072965,1260.5726,1261.34152
121.0,96.517236619,102.20770274,95.504050437,786.576168,199.485098,0.0375656848,1262.41578,1263.21871
122.0,96.440249562,102.13878548,95.318792422,787.074497,199.358249,0.210195289,1262.9606,1265.19001
123.0,96.488131088,102.3452007,95.613744012,787.029708,199.147146,0.297902518,1261.73619,1265.05916
124.0,96.880877594,102.11072344,95.675591679,786.812318,198.957775,0.57676927,1261.59459,1264.09192
125.0,97.222310508,101.67876475,95.349179587,787.063731,198.916294,0.911146035,1262.71956,1264.51411
