Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
54.0,101.34999341,102.64549773,95.480978638,787.020167,202.908736,-0.594903059,1259.82511,1262.26442
55.0,100.91656081,103.12836634,95.483603349,786.713041,203.171594,-0.998176713,1259.48785,1262.11084
56.0,100.83398523,103.18884878,95.475356251,786.599769,203.446226,-1.18612042,1260.35405,1261.60639
57.0,101.1357253,102.79300091,95.345110819,786.644823,203.645793,-1.08420054,1262.22267,1261.18805
58.0,101.77432373,102.11490339,95.237821024,786.778688,203.771474,-0.713129626,1264.13094,1260.79855
59.0,102.55002169,101.40410542,95.187541955,786.879963,203.823891,-0.191493762,1265.33505,1260.58527
60.0,102.53631782,101.45709462,94.965148021,787.117143,203.84567,-0.0561058332,1265.11603,1262.56121
61.0,102.42544832,101.75024821,94.864714548,787.392532,203.881822,-0.0599291257,1264.66139,1264.00603
62.0,102.49245532,102.20805064,95.276157614,787.143382,203.919019,-0.123131298,1262.81808,1263.15435
63.0,102.77946147,102.21487115,95.357737258,786.773756,204.004578,-0.0315137064,1262.39272,1262.00738
64.0,102.97209054,102.1494607,95.32133628,786.667147,204.236554,0.0624708538,1262.45758,1261.69605
65.0,102.99647636,102.26531817,95.400883821,786.571409,204.489147,0.0644637218,1262.01871,1261.6995
66.0,103.26624931,102.11255813,95.496914239,786.377516,204.699948,0.209463461,1262.09733,1261.10317
67.0,102.96919692,102.34582474,95.317943329,786.395134,204.887231,0.0860986285,1262.06377,1262.42619
68.0,103.23348592,102.12692871,95.298003585,786.478819,205.051089,0.228023233,1262.99302,1262.26287
69.0,103.5017201,101.83610053,95.053343208,786.702919,205.139067,0.415065363,1264.33488,1262.86052
70.0,104.05481523,101.37065502,94.874097405,787.043866,205.212849,0.767671627,1265.76082,1263.09235
71.0,104.33262671,101.64638928,95.392077087,786.743015,205.254506,0.859967483,1263.58188,1262.1563
72.0,104.02589601,102.43912356,95.870201548,785.921129,205.311494,0.595429525,1260.15415,1261.42352
73.0,103.9382376,102.74329431,96.174048786,785.14942,205.534001,0.450838743,1258.64422,1260.03681
74.0,103.63755872,102.76527382,95.872965079,785.034483,205.844341,0.294302373,1259.65465,1260.88266
75.0,103.283749,102.67100572,95.307587127,785.655753,206.123405,0.14755253,1262.31404,1263.27464
76.0,103.30412773,102.57871034,95.153896357,786.222583,206.216547,0.113755585,1264.21761,1264.3225
77.0,102.95142379,103.28652919,95.464549018,786.120385,206.129283,-0.247769473,1262.8269,1264.56377
78.0,103.297778,103.44380638,95.968575174,785.432595,206.047135,-0.280708592,1261.65474,1261.99434
79.0,103.78558951,103.05553661,95.907193319,785.034544,206.110741,-0.0776394754,1262.37732,1260.68011
80.0,104.34296046,102.49436316,95.807670559,785.072847,206.321022,0.269469086,1263.55241,1260.36262
81.0,104.38979609,102.26602108,95.383070546,785.525997,206.49439,0.431963198,1264.84056,1262.46218
82.0,104.17722566,102.54534166,95.266333051,785.969604,206.608701,0.361736926,1264.82409,1264.34447
83.0,103.97539378,103.04505999,95.385584249,786.014038,206.624406,0.171951268,1263.91145,1264.82896
84.0,103.94418741,103.41830223,95.532939194,785.808256,206.657127,0.0126625448,1263.1315,1264.19859
85.0,104.07806781,103.5531221,95.60630579,785.604614,206.778236,-0.0483901003,1262.92941,1263.27632
86.0,103.97711792,103.78101246,95.510955114,785.600783,206.972987,-0.194282077,1262.94986,1263.46137
87.0,104.18276496,103.79768812,95.635629295,785.528978,207.192388,-0.188280867,1263.00767,1262.66329
88.0,103.92766546,104.18243995,95.641342746,785.408488,207.380969,-0.405615268,1262.39632,1263.07506
89.0,103.60476432,104.52275524,95.495704357,785.476111,207.580797,-0.654876216,1262.59125,1263.85925
90.0,103.15879618,104.78849776,95.315791622,785.670804,207.757233,-0.94326803,1263.03371,1264.66054
91.0,103.30975542,104.53822029,95.282877761,785.775137,207.880662,-0.915803271,1264.13627,1263.90438
92.0,103.53795293,104.23022902,95.147975845,785.894415,207.902872,-0.794261063,1265.11323,1263.6288
93.0,103.57108635,104.30075139,95.188406894,785.951683,207.884574,-0.788795193,1264.71336,1263.65218
94.0,103.47974816,104.65462407,95.42924746,785.73281,207.845776,-0.899120118,1263.20315,1263.16797
95.0,103.07330275,105.23198986,95.580696172,785.41902,207.854464,-1.19636422,1261.55147,1263.05182
96.0,103.09540679,105.2562016,95.673302493,785.179213,207.947766,-1.2507024,1261.49053,1262.01739
97.0,103.28430488,104.98463239,95.678067203,785.055381,208.066942,-1.14805564,1262.12221,1261.259
98.0,103.04361434,105.00469982,95.506663519,785.15752,208.161831,-1.2113417,1262.52111,1262.24734
99.0,102.45049088,105.33632703,95.212226328,785.52589,208.197533,-1.47472535,1263.01187,1264.3064
100.0,102.64136621,105.33130872,95.567438247,785.436371,208.147794,-1.44714295,1262.84772,1262.968
101.0,102.89457136,105.07331563,95.526192482,785.237917,208.027468,-1.29752493,1263.34702,1262.25666
102.0,103.427646,104.66238503,95.763259099,784.998418,208.009204,-0.969897418,1263.25673,1260.7974
103.0,103.95325579,104.00202276,95.590341722,784.972845,207.995432,-0.509246258,1264.20805,1260.67966
104.0,104.48134715,103.38855665,95.533746694,785.124827,208.026965,-0.00626989896,1264.79666,1260.90362
105.0,104.77783266,103.00963029,95.427981528,785.293289,208.003069,0.389590344,1264.92913,1261.81024
106.0,104.71740593,103.19235696,95.636540568,785.20071,207.958681,0.499851588,1263.32629,1262.37399
107.0,104.45561515,103.45074439,95.624819062,785.068828,207.901608,0.459164887,1262.36503,1263.10044
108.0,104.2116401,103.56588462,95.422613289,785.23587,207.904326,0.394345709,1262.72043,1264.02089
109.0,104.02103936,103.85501286,95.582348355,785.254074,207.905004,0.251274945,1262.1729,1263.92113
110.0,103.68925781,104.21457004,95.597691201,785.156916,207.862511,0.0130456913,1261.73632,1264.04276
111.0,103.6043922,104.31114469,95.628874299,785.098566,207.867024,-0.10465366,1261.93451,1263.55812
112.0,103.20002192,104.73474825,95.70141019,785.001364,207.879292,-0.409354501,1261.32091,1263.68634
113.0,102.74915496,105.0242712,95.475895962,785.143502,207.891374,-0.713478614,1261.92625,1264.49603
114.0,102.80207633,104.86432669,95.302602345,785.4684,207.905839,-0.748176663,1263.54122,1264.44709
115.0,102.89400751,104.90882265,95.451914736,785.511479,207.861701,-0.787011214,1263.53354,1263.82059
116.0,103.61997131,104.42651347,95.771035496,785.143895,207.796602,-0.446047996,1263.5093,1261.41237
